Location,ID,Status,Tree No,ChosenGroup,SimpleSymptoms,FungiSeen,CrownClass,GroupChange17
Site 3,4,Symptomatic,2,COD,Symptomatic,x,x,x
Site 3,5,Non-symptomatic,3,Control,Non-symptomatic,x,x,x
Site 3,6,Symptomatic,3,COD,Symptomatic,x,x,x
Site 3,7,Non-symptomatic,4,Control,Non-symptomatic,x,x,x
Site 3,8,Symptomatic,4,COD,Symptomatic,x,x,x
Site 3,9,Non-symptomatic,5,Control,Non-symptomatic,x,x,x
Site 3,10,Symptomatic,5,COD,Symptomatic,x,x,x
Site 3,11,Non-symptomatic,6,Control,Non-symptomatic,x,x,x
Site 3,12,Symptomatic,6,COD,Symptomatic,x,x,x
Site 3,13,Non-symptomatic,7,Control,Non-symptomatic,x,x,x
Site 3,14,Symptomatic,7,COD,Symptomatic,x,x,x
Site 3,15,Non-symptomatic,8,Control,Non-symptomatic,x,x,x
Site 3,16,Symptomatic,8,COD,Symptomatic,x,x,x
Site 3,17,Non-symptomatic,9,Control,Non-symptomatic,x,x,x
Site 3,18,Symptomatic,9,COD,Symptomatic,x,x,x
Site 3,19,Non-symptomatic,10,Control,Non-symptomatic,x,x,x
Site 3,20,Symptomatic,10,COD,Symptomatic,x,x,x
Site 4,1,Non-symptomatic,25 Y,COD,Symptomatic,x,2,x
Site 4,2,Symptomatic,13 W,Remission,Non-symptomatic,x,3,AOD
Site 4,3,Non-symptomatic,12 G,Control,Non-symptomatic,x,4,x
Site 4,4,Symptomatic,11 O,AOD,Symptomatic,x,4,x
Site 4,5,Non-symptomatic,68 G,Control,Non-symptomatic,x,4,x
Site 4,6,Non-symptomatic,65 G,Control,Non-symptomatic,x,4,x
Site 4,7,Symptomatic,62 O,AOD,Symptomatic,x,2,x
Site 4,8,Symptomatic,56 O,AOD,Symptomatic,x,4,x
Site 4,9,Non-symptomatic,44 W,Remission,Non-symptomatic,x,5,x
Site 4,10,Non-symptomatic,75 W,Remission,Non-symptomatic,x,3,x
Site 4,11,Non-symptomatic,83 Y,COD,Symptomatic,Gymnopus,2,x
Site 4,12,Non-symptomatic,78 Y,COD,Symptomatic,x,sh,x
Site 4,13,Non-symptomatic,79 G,Control,Non-symptomatic,x,5,x
Site 4,14,Non-symptomatic,80 W,Remission,Non-symptomatic,x,3,x
Site 4,15,Non-symptomatic,81 Y,COD,Symptomatic,x,2,x
Site 4,16,Symptomatic,91 O,AOD,Symptomatic,x,3,x
Site 4,17,Non-symptomatic,90 G,Control,Non-symptomatic,x,3,x
Site 4,18,Symptomatic,89 O,AOD,Symptomatic,x,2,x
Site 4,19,Non-symptomatic,85 W,Remission,Non-symptomatic,x,3,AOD
Site 4,20,Non-symptomatic,61 Y,COD,Symptomatic,x,3,x
Site 5,1,Non-symptomatic,1228,Control,Non-symptomatic,x,5,x
Site 5,2,Non-symptomatic,1251,Control,Non-symptomatic,x,5,x
Site 5,3,Non-symptomatic,1260,Control,Non-symptomatic,x,4,x
Site 5,4,Non-symptomatic,1286,Control,Non-symptomatic,x,4,x
Site 5,5,Non-symptomatic,1291,Control,Non-symptomatic,x,2,x
Site 5,6,Symptomatic,1301,AOD,Symptomatic,x,2,x
Site 5,7,Symptomatic,1305,COD,Symptomatic,Armillaria,3,x
Site 5,8,Symptomatic,1230,COD,Symptomatic,Armillaria,2,x
Site 5,9,Symptomatic,1252,COD,Symptomatic,Armillaria,2,AODplus
Site 5,10,Symptomatic,2012,Remission,Non-symptomatic,x,2,AOD
Site 5,11,Symptomatic,1267,Remission,Non-symptomatic,x,3,x
Site 5,12,Symptomatic,1269,Remission,Non-symptomatic,x,4,x
Site 5,13,Non-symptomatic,1271,Remission,Non-symptomatic,x,4,x
Site 5,14,Symptomatic,1272,AOD,Symptomatic,x,3,x
Site 5,15,Symptomatic,1274,AOD,Symptomatic,x,3,Remission
Site 5,16,Symptomatic,1284,AOD,Symptomatic,x,3,x
Site 5,17,Non-symptomatic,1285,Remission,Non-symptomatic,x,4,x
Site 5,18,Non-symptomatic,1290,COD,Symptomatic,Gymnopus,3,x
Site 5,19,Non-symptomatic,1293,AOD,Symptomatic,x,3,Remission
Site 5,20,Symptomatic,1297,COD,Symptomatic,Gymnopus,4,AOD
Site 6,1,Non-symptomatic,116,Control,Non-symptomatic,x,5,x
Site 6,2,Symptomatic,118,AOD,Symptomatic,x,2,x
Site 6,3,Non-symptomatic,74,Remission,Non-symptomatic,x,4,x
Site 6,4,Symptomatic,64,Extra,Symptomatic,x,2,AODplus
Site 6,5,Symptomatic,57,AOD,Symptomatic,x,2,x
Site 6,6,Symptomatic,50,COD,Symptomatic,Armillaria,3,x
Site 6,7,Non-symptomatic,44,Remission,Non-symptomatic,x,3,x
Site 6,8,Symptomatic,39,COD,Symptomatic,x,2,AOD
Site 6,9,Non-symptomatic,35,Control,Non-symptomatic,x,4,x
Site 6,10,Symptomatic,142,COD,Symptomatic,x,3,x
Site 6,11,Symptomatic,147,AOD,Symptomatic,x,2,x
Site 6,12,Non-symptomatic,146,Remission,Non-symptomatic,x,4,x
Site 6,13,Non-symptomatic,150,Control,Non-symptomatic,x,5,x
Site 6,14,Symptomatic,161,AOD,Symptomatic,x,2,x
Site 6,15,Non-symptomatic,165,Remission,Non-symptomatic,x,4,x
Site 6,16,Symptomatic,175,COD,Symptomatic,x,3,x
Site 6,17,Non-symptomatic,174,Control,Non-symptomatic,x,5,x
Site 6,18,Symptomatic,282,Extra,Symptomatic,x,2,AODplus
Site 6,19,Symptomatic,255,AOD,Symptomatic,x,3,x
Site 6,20,Non-symptomatic,253,Remission,Non-symptomatic,x,4,x
Site 6,21,Non-symptomatic,244,Control,Non-symptomatic,x,5,x
Site 6,22,Symptomatic,237,COD,Symptomatic,Gymnopus,3,x
Site 7,1,Non-symptomatic,2,Control,Non-symptomatic,x,4,x
Site 7,2,Non-symptomatic,36,Control,Non-symptomatic,x,4,x
Site 7,3,Non-symptomatic,52,Control,Non-symptomatic,x,4,x
Site 7,4,Non-symptomatic,61,Control,Non-symptomatic,x,5,x
Site 7,5,Non-symptomatic,141,Control,Non-symptomatic,x,5,x
Site 7,6,Symptomatic,100,AOD,Symptomatic,x,2,x
Site 7,7,Symptomatic,109,AOD,Symptomatic,x,2,Remission
Site 7,8,Symptomatic,148,AOD,Symptomatic,x,2,x
Site 7,9,Symptomatic,26,AOD,Symptomatic,x,2,x
Site 8,1,Symptomatic,21,COD,Symptomatic,x,x,x
Site 8,2,Non-symptomatic,38,Control,Non-symptomatic,x,x,x
Site 8,3,Symptomatic,17,COD,Symptomatic,x,x,x
Site 8,4,Non-symptomatic,14,Control,Non-symptomatic,x,x,x
Site 8,5,Non-symptomatic,26,Control,Non-symptomatic,x,x,x
Site 8,6,Non-symptomatic,11,Control,Non-symptomatic,x,x,x
Site 8,7,Non-symptomatic,28,Control,Non-symptomatic,x,x,x
Site 8,8,Symptomatic,30,COD,Symptomatic,x,x,x
Site 8,9,Non-symptomatic,29,Control,Non-symptomatic,x,x,x
Site 8,10,Non-symptomatic,20,Control,Non-symptomatic,x,x,x
Site 8,11,Symptomatic,2,COD,Symptomatic,x,x,x
Site 8,12,Symptomatic,12,COD,Symptomatic,x,x,x
Site 8,13,Symptomatic,39,COD,Symptomatic,x,x,x
Site 8,14,Non-symptomatic,31,Control,Non-symptomatic,x,x,x
Site 8,15,Non-symptomatic,42,Control,Non-symptomatic,x,x,x
Site 8,16,Non-symptomatic,43,Control,Non-symptomatic,x,x,x
Site 8,17,Symptomatic,44,COD,Symptomatic,x,x,x
Site 8,18,Symptomatic,45,COD,Symptomatic,x,x,x
Site 8,19,Symptomatic,46,COD,Symptomatic,x,x,x
Site 8,20,Symptomatic,47,COD,Symptomatic,x,x,x
Site 9,1,Symptomatic,2871 O,AOD,Symptomatic,x,2,x
Site 9,2,Symptomatic,295 O,AOD,Symptomatic,x,2,x
Site 9,3,Non-symptomatic,311 G,Control,Non-symptomatic,x,3,x
Site 9,4,Non-symptomatic,282 W,Remission,Non-symptomatic,x,4,x
Site 9,5,Non-symptomatic,264 G,Control,Non-symptomatic,x,5,x
Site 9,6,Non-symptomatic,273 Y,COD,Symptomatic,x,3,x
Site 9,7,Non-symptomatic,272 W,Remission,Non-symptomatic,x,5,x
Site 9,8,Symptomatic,269 O,AOD,Symptomatic,x,2,x
Site 9,9,Non-symptomatic,41 G,Control,Non-symptomatic,x,4,x
Site 9,10,Symptomatic,40 O,AOD,Symptomatic,x,4,x
Site 9,11,Non-symptomatic,32 W,Remission,Non-symptomatic,x,4,x
Site 9,12,Non-symptomatic,218 W,Remission,Non-symptomatic,x,5,x
Site 9,13,Non-symptomatic,217 G,Control,Non-symptomatic,x,4,x
Site 9,14,Symptomatic,195 O,AOD,Symptomatic,x,3,x
Site 9,15,Non-symptomatic,200 Y,COD,Symptomatic,Gymnopus,2,x
Site 9,16,Non-symptomatic,170 Y,COD,Symptomatic,Gymnopus,3,x
Site 9,17,Non-symptomatic,134 Y,COD,Symptomatic,Gymnopus,2,x
Site 9,18,Symptomatic,82 W,Remission,Non-symptomatic,Gymnopus,3,x
Site 9,19,Non-symptomatic,84 G,Control,Non-symptomatic,x,3,x
Site 9,20,Non-symptomatic,221 Y,COD,Symptomatic,Gymnopus,4,x
